id,title,kind,provider,author,year,aow,aow_name,lens,geo,licence,formats,resolution,temporal,cadence,url,blurb,tags,metadata_recorded,metadata_missing,verified
e1,Cesare Scartozzi,Use-case champion,GCF Preparation Facility,,,aow5,Finance and Policy for Scaling Solutions,adaptation,Global,,,,,,,Climate rationale and climate finance evidence for Green Climate Fund proposals.,GCF; climate finance; climate rationale,,,"Carried over from the v0.2 prototype, link checked when that was built"
e2,Bert Lenaerts,Use-case champion,"IRRI, Breeding for Tomorrow",,,aow1,Prioritisation and Coordination of Climate Action,adaptation,Global,,,,,,,"Crop risk indices, hazard inputs and breeding prioritisation.",crop risk index; breeding; hazards,,,"Carried over from the v0.2 prototype, link checked when that was built"
e3,Emmanuel Mwema,Use-case champion,"Alliance Bioversity-CIAT, SAAF",,,aow4,Low-Emission Transitions,mitigation,Global,,,,,,,"Environmental benefits and risks of livestock interventions, iCLEANED decision support.",livestock; environmental assessment; decision support,,,"Carried over from the v0.2 prototype, link checked when that was built"
e4,Andreea Nowak,Use-case champion,"Alliance Bioversity-CIAT, Climate Action",,,aow1,Prioritisation and Coordination of Climate Action,adaptation,Global,,,,,,,"Adaptation metrics, adaptation tracking and MEL frameworks.",adaptation tracking; metrics; MEL,,,"Carried over from the v0.2 prototype, link checked when that was built"
e5,Chris Kettle,Use-case champion,Multifunctional Landscapes,,,aow3,Locally-Led Adaptation,cross,Global,,,,,,,"Digital twins, geospatial intelligence frameworks, MRV and adaptation tracking.",digital twins; geospatial; MRV; landscapes,,,"Carried over from the v0.2 prototype, link checked when that was built"
e6,Ciniro Costa Junior,Use-case champion,"Alliance Bioversity-CIAT, Climate Action",,,aow4,Low-Emission Transitions,mitigation,"Colombia, Nigeria",,,,,,,Tier 2 greenhouse gas inventories and emissions uncertainty for livestock systems.,Tier 2 inventories; emissions uncertainty; livestock,,,"Carried over from the v0.2 prototype, link checked when that was built"
